time,type
1719368437,start
1719368401,start
1719368891,start
1719369055,start
1719369718,start
1719370091,start
1719370097,start
1719370118,start
1719370178,start
1719370328,start
1719370335,start
1719370380,start
1719370401,start
1719370401,start
1719370419,start
1719370968,start
1719371109,start
1719371441,start
1719371533,start
1719371597,start
1719372101,start
1719372242,start
1719372685,start
1719372793,start
1719372769,start
1719373411,start
1719373691,start
1719373830,start
1719373933,start
1719373958,start
1719374051,start
1719374296,start
1719374375,start
1719374436,start
1719374449,start
1719374572,start
1719374674,start
1719375455,start
1719374657,start
1719375451,start
1719375482,start
1719375620,start
1719376431,start
1719383619,start
1719376814,start
1719377243,start
1719377307,start
1719377504,start
1719380136,start
1719380215,start
1719383648,start
1719381233,start
1719381460,start
1719382128,start
1719382148,start
1719382249,start
1719383926,start
1719382492,start
1719382601,start
1719382674,start
1719382797,start
1719382845,start
1719382937,start
1719382978,start
1719383085,start
1719383115,start
1719383310,start
1719383322,start
1719383558,start
1719383592,start
1719383634,start
1719383907,start
1719384037,start
1719384037,start
1719384078,start
1719384098,start
1719390424,start
1719384190,start
1719384298,start
1719384282,start
1719384396,start
1719389360,start
1719384705,start
1719387390,start
1719384894,start
1719385577,start
1719388895,start
1719384976,start
1719385053,start
1719385357,start
1719385507,start
1719385563,start
1719385619,start
1719385819,start
1719385771,start
1719385926,start
1719386029,start
1719386229,start
1719386303,start
1719386405,start
1719386465,start
1719386559,start
1719386663,start
1719386684,start
1719386725,start
1719386972,start
1719387033,start
1719387074,start
1719387246,start
1719387356,start
1719387317,start
1719387377,start
1719387380,start
1719387786,start
1719387872,start
1719387951,start
1719387922,start
1719388123,start
1719389360,start
1719388330,start
1719388546,start
1719388578,start
1719388708,start
1719388721,start
1719388816,start
1719388945,start
1719389263,start
1719389433,start
1719389505,start
1719389554,start
1719389731,start
1719389841,start
1719389989,start
1719390035,start
1719390035,start
1719390229,start
1719390216,start
1719390284,start
1719390737,start
1719390694,start
1719391357,start
1719391385,start
1719391467,start
1719391577,start
1719391584,start
1719391598,start
1719391816,start
1719392022,start
1719392068,start
1719392168,start
1719394926,start
1719393636,start
1719392163,start
1719392933,start
1719393765,start
1719396686,start
1719392298,start
1719392542,start
1719393615,start
1719392956,start
1719392982,start
1719393291,start
1719393358,start
1719393399,start
1719394365,start
1719395256,start
1719395584,start
1719394498,start
1719394817,start
1719394904,start
1719395136,start
1719395184,start
1719395481,start
1719395612,start
1719395728,start
1719396433,start
1719396011,start
1719396925,start
1719396982,start
1719397347,start
1719397664,start
1719397865,start
1719397926,start
1719398018,start
1719398322,start
1719398755,start
1719398887,start
1719409781,start
1719399606,start
1719399832,start
1719399879,start
1719400408,start
1719400479,start
1719401258,start
1719407812,start
1719401426,start
1719428935,start
1719402142,start
1719435980,start
1719401634,start
1719402381,start
1719402831,start
1719419826,start
1719403290,start
1719403405,start
1719403601,start
1719403607,start
1719404416,start
1719404405,start
1719404402,start
1719404417,start
1719404463,start
1719404658,start
1719404689,start
1719404900,start
1719405168,start
1719419209,start
1719405814,start
1719405859,start
1719405908,start
1719406799,start
1719413151,start
1719409374,start
1719407414,start
1719408760,start
1719409062,start
1719435663,start
1719435300,start
1719435663,start
1719411734,start
1719412058,start
1719413080,start
1719412291,start
1719412384,start
1719412847,start
1719413224,start
1719427370,start
1719413593,start
1719414009,start
1719416091,start
1719414449,start
1719414775,start
1719414782,start
1719415325,start
1719415800,start
1719416097,start
1719430350,start
1719427469,start
1719435826,start
1719435309,start
1719425865,start
1719427971,start
1719419203,start
1719420361,start
1719437458,start
1719442145,start
1719443200,start
1719444363,start
1719445557,start
1719446489,start
1719447227,start
1719447298,start
1719448050,start
1719448878,start
1719449741,start
1719449862,start
1719450595,start
1719450619,start
1719450909,start
1719451567,start
1719452282,start
1719452329,start
1719452604,start
1719452605,start
1719452634,start
1719452818,start
1719452819,start
1719452936,start
1719453105,start
1719453175,start
